Name, ServingSize, Calories, TotalFat(g), SaturatedFat(g), TransFat(g), Cholesterol(mg), Sodium(mg), Carbohydrates(g), DietaryFiber(g), Sugar(g), Protein(g), VitaminA(%DV), VitaminC(%DV), Calcium (%DV), Iron(%DV)
Steak,4 oz, 190, 6.5, 2, 0, 65, 320, 2, 0, 1, 30, 2, 0, 2, 15
Chicken,4 oz, 180, 7, 3, 0, 125, 310, 0, 0.5, 0, 32, 0, 2, 3, 8
Sofritas,4 oz, 145, 10, 1.5, 0, 0, 555, 9, 3.5, 4.5, 8, 17, 23, 17, 17
Barbacoa,4 oz, 165, 7, 2.5, 0, 65, 530, 2, 1, 0, 24, 6, 0, 2, 15
Carnitas,4 oz, 220, 13, 6, 0, 65, 500, 0.5, 0, 0, 26, 2, 1, 4, 4
Chips, 4 oz, 570, 27, 3.5, 0, 0, 420, 73, 8, 4, 8, 0, 2, 4, 6
White Rice, 4 oz, 185, 4, 0, 0, 0, 375, 34, 1, 0, 3.5, 7, 0, 2, 5
Brown Rice, 4 oz, 200, 7, 0, 0, 0, 165, 32, 2.5, 0.5, 3.5, 0, 0, 2, 2
Black Beans, 4 oz, 120, 1, 0, 0, 0, 260, 22, 12, 1, 7, 4, 2, 4, 10
Pinto Beans, 4 oz, 115, 1, 0, 0, 0, 300, 21, 10, 1, 6, 3, 10, 5, 10
Fajita Veggies, 2.5 oz, 20, 0.5, 0, 0, 0, 170, 4, 1, 2, 1, 4, 30, 2, 2
Tomato Salsa, 3.5 oz, 20, 0, 0, 0, 0, 210, 5, 1, 3, 1, 15, 25, 2, 2
Corn Salsa, 3.5 oz, 80, 1.5, 0, 0, 0, 330, 16, 3, 4, 3, 4, 10, 0, 4
Green Tomatillo Salsa, 2 oz, 20, 0, 0, 0, 0, 250, 4, 1, 2, 0.5, 5, 20, 2, 3
Red Tomatillo Salsa, 2 oz, 25, 1, 0, 0, 0, 500, 4, 2, 1, 1, 20, 0, 0, 2
Sour Cream, 2 oz, 115 ,9.5, 7, 0, 40, 30, 1, 0, 2, 2, 8, 0, 8, 0
Cheese, 1 oz, 100, 7.5, 5, 0, 30, 190, 1, 0, 0, 6, 7, 0, 20, 0
Guacamole, 4 oz, 230, 22, 3.5, 0, 0, 375, 8, 6, 1, 2, 7, 7, 2, 7
Lettuce, 1 oz, 5, 0, 0, 0, 0, 0, 1, 1, 0, 0, 35, 10, 0, 2
Soft Flour Tortilla, 1, 300, 10, 1, 0, 0, 690, 46, 3, 0, 7, 0, 0, 20, 15
Soft Flour Tortillas, 3, 255, 7.5, 3, 0, 0, 570, 39, 3, 0, 6, 0, 0, 15, 15
Crispy Corn Tortillas, 3, 210, 7.5, 3, 0, 0, 30, 30, 6, 3, 3, 0, 0, 6, 6
Soft Corn Tortillas, 3, 210, 0, 0, 0, 0, 30, 45, 6, 0, 3, 0, 0, 6, 6
Vinaigrette, 2.0 fl oz, 270, 25, 4.5, 0, 10, 850, 18, 2, 12, 0.5, 2, 0, 0, 0
