"","order_id","quantity","item_name","choice_description","item_price","Calories","TotalFat.g.","SaturatedFat.g.","TransFat.g.","Cholesterol.mg.","Sodium.mg.","Carbohydrates.g.","DietaryFiber.g.","Sugar.g.","Protein.g.","VitaminA..DV.","VitaminC..DV.","Calcium...DV.","Iron..DV.","Calories.Share","TotalFat.g..Share","SaturatedFat.g..Share","TransFat.g..Share","Cholesterol.mg..Share","Sodium.mg..Share","Carbohydrates.g..Share","DietaryFiber.g..Share","Sugar.g..Share","Protein.g..Share","VitaminA..DV..Share","VitaminC..DV..Share","Calcium...DV..Share","Iron..DV..Share"
"1","1","1","Chips and Fresh Tomato Salsa","NULL","$2.39 ","590","27","3.5","0","0","630","78","9","7","9","15","27","6","8","0.295","0.415384615384615","0.175","0","0","0.2625","0.26","0.36","0.0777777777777778","0.18","0.15","0.27","0.06","0.08"
"2","1","1","Izze","Clementine","$3.39 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","1","1","Nantucket Nectar","Apple","$3.39 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","1","1","Chips and Tomatillo-Green Chili Salsa","NULL","$2.39 ","590","27","3.5","0","0","670","77","9","6","8.5","5","22","6","9","0.295","0.415384615384615","0.175","0","0","0.279166666666667","0.256666666666667","0.36","0.0666666666666667","0.17","0.05","0.22","0.06","0.09"
"5","2","2","Chicken Bowl","Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream","$16.98 ","725","30","15","0","195","1665","62","15.5","4","51.5","46","4","37","25","0.3625","0.461538461538462","0.75","0","0.65","0.69375","0.206666666666667","0.62","0.0444444444444444","1.03","0.46","0.04","0.37","0.25"
"6","3","1","Chicken Bowl","Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Guacamole, Lettuce","$10.98 ","835","50","18.5","0","195","1490","50","9.5","6","46.5","79","44","37","24","0.4175","0.769230769230769","0.925","0","0.65","0.620833333333333","0.166666666666667","0.38","0.0666666666666667","0.93","0.79","0.44","0.37","0.24"
"7","3","1","Side of Chips","NULL","$1.69 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"8","4","1","Steak Burrito","Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.75 ","1220","59","18.5","0","135","2835","110","35","9","62","90","59","63","63","0.61","0.907692307692308","0.925","0","0.45","1.18125","0.366666666666667","1.4","0.1","1.24","0.9","0.59","0.63","0.63"
"9","4","1","Steak Soft Tacos","Tomatillo Green Chili Salsa, Pinto Beans, Cheese, Sour Cream, Lettuce","$9.25 ","735","24.5","14","0","135","870","71","17","4","47","55","20","41","33","0.3675","0.376923076923077","0.7","0","0.45","0.3625","0.236666666666667","0.68","0.0444444444444444","0.94","0.55","0.2","0.41","0.33"
"10","5","1","Steak Burrito","Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce","$9.25 ","1150","39.5","15","0","135","2375","133","28","8","62.5","81","47","63","59","0.575","0.607692307692308","0.75","0","0.45","0.989583333333333","0.443333333333333","1.12","0.0888888888888889","1.25","0.81","0.47","0.63","0.59"
